clip_start_utc,clip_end_utc,overlap_count,top1_mmsi,top1_shipname,top1_cpa_dist_m
2025-10-02T03:45:00+00:00,2025-10-02T03:45:10+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:45:10+00:00,2025-10-02T03:45:20+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:45:20+00:00,2025-10-02T03:45:30+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:45:30+00:00,2025-10-02T03:45:40+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:45:40+00:00,2025-10-02T03:45:50+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:45:50+00:00,2025-10-02T03:46:00+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:46:00+00:00,2025-10-02T03:46:10+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:46:10+00:00,2025-10-02T03:46:20+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:46:20+00:00,2025-10-02T03:46:30+00:00,1,367479990,WSF KENNEWICK,4621.4
2025-10-02T03:46:30+00:00,2025-10-02T03:46:40+00:00,1,367479990,WSF KENNEWICK,4621.4
